n_instance,Deterministic Greedy,Genetic,Local Search Best Improvement,Local Search First Improvement,Non Deterministc Greedy,Simulated Annealing
1,121.27933533674224,121.91423710975712,121.9142371097571,121.9142371097571,118.35349642522638,121.91423710975636
2,262.59664160275526,262.59664160275526,262.4361794010481,262.4361794010481,262.59664160275526,262.5966416027554
3,592.0012465991155,592.6644441184576,591.3927304462493,592.0538714709662,592.2947969223454,592.1362710743045
4,1269.6455020045191,1269.6732356363618,1269.0609850104718,1269.655902941152,1269.6455020045191,1269.6455020045191
5,2704.3086617590725,2686.493598799633,2704.751322246913,2704.802603763368,2704.710990026844,2704.9046391392844
6,5372.732400838945,5346.432609049951,5372.984846932809,5373.375899266398,5372.985241704559,5373.293060607761
